Date,Department,ARMS Department ID,Total # of Employees,# of Employees with Debt,% Employees with Debt,Total Amount Due
11/3/18,ADMINISTRATIVE HEARING,AHMS,34,3,8.8,1362.87
11/3/18,COMM ANIMAL CARE AND CONTROL,ANIMAL,78,0,0,0
11/3/18,AVIATION,AVIATION,1413,70,5,29174.61
11/3/18,BUS AFFAIRS AND CONSUMER PROT,BACP,172,4,2.3,900
11/3/18,BUILDINGS,BUILDINGS,268,8,3,4338.53
11/3/18,CULTURAL AFFAIRS,CA,77,0,0,0
11/3/18,CHICAGO BOARD OF EDUCATION,CBOE,46110,3365,7.3,2662041.98
11/3/18,CITY COLLEGES OF CHICAGO,CCC,4933,266,5.4,171462.79
11/3/18,FIRE DEPARTMENT,CFD,4712,203,4.3,131132.3
11/3/18,CHICAGO HOUSING AUTHORITY,CHA,569,25,4.4,16695.12
11/3/18,CITY CLERK,CLERK,91,0,0,0
11/3/18,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,209,5,2.4,1711.19
11/3/18,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,120,5,4.2,9444.17
11/3/18,CITY COUNCIL,COUNCIL,427,19,4.4,28272.19
11/3/18,CHICAGO PARK DISTRICT,CPDT,5485,311,5.7,249119.01
11/3/18,CHICAGO PUBLIC LIBRARY,CPL,969,18,1.9,10988.86
11/3/18,CHICAGO TRANSIT AUTHORITY,CTA,11057,2345,21.2,2286340.55
11/3/18,DOIT,DOIT,104,4,3.8,576.4
11/3/18,BOARD OF ELECTION COMMISSIONER,ELECTIONS,106,2,1.9,5739.29
11/3/18,BOARD OF ETHICS,ETHICS,8,0,0,0
11/3/18,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,636,28,4.4,12307.42
11/3/18,FINANCE,FINANCE,557,26,4.7,16275.39
11/3/18,FLEET AND FACILITY MGMT,FLEETFM,967,39,4,24906.59
11/3/18,PUBLIC HEALTH,HEALTH,477,23,4.8,10286.84
11/3/18,COMMISSION ON HUMAN RELATIONS,HR,16,0,0,0
11/3/18,HUMAN RESOURCES,HUMANRESOURCES,77,0,0,0
11/3/18,LAW,LAW,389,7,1.8,1809.65
11/3/18,OFFICE OF THE MAYOR,MAYOR,93,1,1.1,308.86
11/3/18,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,1,3.4,200
11/3/18,OFFICE OF BUDGET & MANAGEMENT,OBM,47,0,0,0
11/3/18,OFFICE OF EMERGENCY MGMT & COM,OEMC,2059,165,8,181194.07
11/3/18,POLICE,POLICE,13954,300,2.1,137189.1
11/3/18,PROCUREMENT SERV,PROCUREMENT,91,5,5.5,1854.18
11/3/18,STREETS AND SANITATION,STREETSAN,2018,121,6,61357.64
11/3/18,TRANSPORTATION,TRANS,1222,64,5.2,30194.89
11/3/18,CITY TREASURER,TREASURER,29,0,0,0
11/3/18,WATER MANAGEMENT,WATER,1908,95,5,46438.8
11/17/18,ADMINISTRATIVE HEARING,AHMS,35,3,8.6,1362.87
11/17/18,LAW,LAW,386,6,1.6,1719.61
11/17/18,BOARD OF ETHICS,ETHICS,8,0,0,0
11/17/18,DOIT,DOIT,102,2,2,276.4
11/17/18,STREETS AND SANITATION,STREETSAN,2085,92,4.4,52516.55
11/17/18,PUBLIC HEALTH,HEALTH,480,12,2.5,6159.02
11/17/18,CHICAGO BOARD OF EDUCATION,CBOE,46110,3152,6.8,2526521.84
11/17/18,CITY COLLEGES OF CHICAGO,CCC,4933,257,5.2,168315.95
11/17/18,BUS AFFAIRS AND CONSUMER PROT,BACP,168,1,0.6,150
11/17/18,CULTURAL AFFAIRS,CA,77,0,0,0
11/17/18,CHICAGO HOUSING AUTHORITY,CHA,569,24,4.2,16962.78
11/17/18,OFFICE OF BUDGET & MANAGEMENT,OBM,47,0,0,0
11/17/18,FLEET AND FACILITY MGMT,FLEETFM,975,33,3.4,21201.65
11/17/18,OFFICE OF EMERGENCY MGMT & COM,OEMC,2026,143,7.1,157614.41
11/17/18,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,2,1.9,5739.29
11/17/18,OFFICE OF THE MAYOR,MAYOR,94,1,1.1,308.86
11/17/18,CITY TREASURER,TREASURER,28,0,0,0
11/17/18,AVIATION,AVIATION,1480,50,3.4,16018.38
11/17/18,TRANSPORTATION,TRANS,1221,48,3.9,25013.24
11/17/18,CITY COUNCIL,COUNCIL,421,19,4.5,27784.19
11/17/18,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,638,11,1.7,3707.73
11/17/18,CITY CLERK,CLERK,90,0,0,0
11/17/18,BUILDINGS,BUILDINGS,267,5,1.9,1694.46
11/17/18,CHICAGO TRANSIT AUTHORITY,CTA,11057,2308,20.9,2246875.64
11/17/18,FINANCE,FINANCE,566,17,3,13411.99
11/17/18,PROCUREMENT SERV,PROCUREMENT,90,4,4.4,1372.06
11/17/18,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,206,1,0.5,120
11/17/18,POLICE,POLICE,13957,135,1,79106.18
11/17/18,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
11/17/18,CHICAGO PARK DISTRICT,CPDT,5485,294,5.4,241865.53
11/17/18,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,1,3.4,200
11/17/18,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,123,4,3.3,9024.17
11/17/18,COMM ANIMAL CARE AND CONTROL,ANIMAL,79,0,0,0
11/17/18,WATER MANAGEMENT,WATER,1919,73,3.8,39247.56
11/17/18,HUMAN RESOURCES,HUMANRESOURCES,75,0,0,0
11/17/18,CHICAGO PUBLIC LIBRARY,CPL,1003,15,1.5,9449.66
11/17/18,FIRE DEPARTMENT,CFD,4696,190,4,125376.56
11/24/18,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,638,10,1.6,3587.73
11/24/18,LAW,LAW,386,4,1,1249.61
11/24/18,OFFICE OF BUDGET & MANAGEMENT,OBM,47,0,0,0
11/24/18,DOIT,DOIT,102,2,2,276.4
11/24/18,FIRE DEPARTMENT,CFD,4696,188,4,124001.45
11/24/18,CITY COUNCIL,COUNCIL,421,19,4.5,27784.19
11/24/18,CHICAGO TRANSIT AUTHORITY,CTA,11057,2297,20.8,2238040.33
11/24/18,CITY CLERK,CLERK,90,0,0,0
11/24/18,OFFICE OF THE MAYOR,MAYOR,94,1,1.1,308.86
11/24/18,CHICAGO PUBLIC LIBRARY,CPL,1003,12,1.2,8366.39
11/24/18,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,123,3,2.4,8624.17
11/24/18,POLICE,POLICE,13957,113,0.8,72436.72
11/24/18,FLEET AND FACILITY MGMT,FLEETFM,975,31,3.2,20887.65
11/24/18,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,206,1,0.5,120
11/24/18,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,1,3.4,200
11/24/18,STREETS AND SANITATION,STREETSAN,2085,89,4.3,50737.53
11/24/18,TRANSPORTATION,TRANS,1221,45,3.7,15585.96
11/24/18,AVIATION,AVIATION,1480,44,3,14550.42
11/24/18,BOARD OF ETHICS,ETHICS,8,0,0,0
11/24/18,CITY COLLEGES OF CHICAGO,CCC,4933,254,5.1,167351.36
11/24/18,ADMINISTRATIVE HEARING,AHMS,35,3,8.6,1362.87
11/24/18,PROCUREMENT SERV,PROCUREMENT,90,4,4.4,1372.06
11/24/18,BUILDINGS,BUILDINGS,267,2,0.7,320
11/24/18,COMM ANIMAL CARE AND CONTROL,ANIMAL,79,0,0,0
11/24/18,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
11/24/18,BUS AFFAIRS AND CONSUMER PROT,BACP,168,1,0.6,150
11/24/18,CULTURAL AFFAIRS,CA,77,0,0,0
11/24/18,WATER MANAGEMENT,WATER,1919,69,3.6,38231.76
11/24/18,HUMAN RESOURCES,HUMANRESOURCES,75,0,0,0
11/24/18,CHICAGO HOUSING AUTHORITY,CHA,569,24,4.2,16962.78
11/24/18,FINANCE,FINANCE,566,16,2.8,8756
11/24/18,PUBLIC HEALTH,HEALTH,480,10,2.1,5515.02
11/24/18,CHICAGO PARK DISTRICT,CPDT,5485,196,3.6,148023.19
11/24/18,CHICAGO BOARD OF EDUCATION,CBOE,46110,3123,6.8,2496899.06
11/24/18,CITY TREASURER,TREASURER,28,0,0,0
11/24/18,OFFICE OF EMERGENCY MGMT & COM,OEMC,2026,135,6.7,148811.32
11/24/18,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,2,1.9,5739.29
12/1/18,CHICAGO BOARD OF EDUCATION,CBOE,46110,3045,6.6,2424659.46
12/1/18,FINANCE,FINANCE,566,10,1.8,6946.36
12/1/18,OFFICE OF BUDGET & MANAGEMENT,OBM,47,0,0,0
12/1/18,CHICAGO PUBLIC LIBRARY,CPL,1003,10,1,8099.99
12/1/18,FIRE DEPARTMENT,CFD,4696,187,4,122110.18
12/1/18,PUBLIC HEALTH,HEALTH,480,5,1,2875.44
12/1/18,OFFICE OF EMERGENCY MGMT & COM,OEMC,2026,123,6.1,126029.56
12/1/18,OFFICE OF THE MAYOR,MAYOR,94,0,0,0
12/1/18,HUMAN RESOURCES,HUMANRESOURCES,75,0,0,0
12/1/18,CITY COUNCIL,COUNCIL,421,19,4.5,27786.86
12/1/18,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
12/1/18,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,638,6,0.9,1420.47
12/1/18,BOARD OF ETHICS,ETHICS,8,0,0,0
12/1/18,POLICE,POLICE,13957,96,0.7,70448.67
12/1/18,LAW,LAW,386,4,1,1049.61
12/1/18,CULTURAL AFFAIRS,CA,77,0,0,0
12/1/18,CITY CLERK,CLERK,90,0,0,0
12/1/18,CHICAGO HOUSING AUTHORITY,CHA,569,24,4.2,16966.41
12/1/18,WATER MANAGEMENT,WATER,1919,49,2.6,31401.84
12/1/18,PROCUREMENT SERV,PROCUREMENT,90,3,3.3,1312
12/1/18,DOIT,DOIT,102,2,2,276.4
12/1/18,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,123,3,2.4,8136.17
12/1/18,CHICAGO TRANSIT AUTHORITY,CTA,11057,2291,20.7,2218971.65
12/1/18,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,206,1,0.5,120
12/1/18,BUS AFFAIRS AND CONSUMER PROT,BACP,168,0,0,0
12/1/18,ADMINISTRATIVE HEARING,AHMS,35,2,5.7,729.2
12/1/18,AVIATION,AVIATION,1480,38,2.6,13980.62
12/1/18,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,1,3.4,200
12/1/18,TRANSPORTATION,TRANS,1221,34,2.8,12557.27
12/1/18,CHICAGO PARK DISTRICT,CPDT,5485,185,3.4,143297.15
12/1/18,STREETS AND SANITATION,STREETSAN,2085,79,3.8,43601.66
12/1/18,CITY TREASURER,TREASURER,28,0,0,0
12/1/18,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,2,1.9,5739.29
12/1/18,FLEET AND FACILITY MGMT,FLEETFM,975,21,2.2,16412.37
12/1/18,CITY COLLEGES OF CHICAGO,CCC,4933,251,5.1,168584.87
12/1/18,BUILDINGS,BUILDINGS,267,2,0.7,288.01
12/1/18,COMM ANIMAL CARE AND CONTROL,ANIMAL,79,0,0,0
12/8/18,CITY TREASURER,TREASURER,28,0,0,0
12/8/18,CHICAGO TRANSIT AUTHORITY,CTA,11057,2275,20.6,2196855.71
12/8/18,AVIATION,AVIATION,1643,31,1.9,11185.43
12/8/18,CHICAGO BOARD OF EDUCATION,CBOE,46110,3004,6.5,2394205.65
12/8/18,DOIT,DOIT,102,2,2,276.4
12/8/18,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,652,4,0.6,980.47
12/8/18,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,2,1.9,5739.29
12/8/18,TRANSPORTATION,TRANS,1207,11,0.9,5690.2
12/8/18,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,208,0,0,0
12/8/18,CHICAGO HOUSING AUTHORITY,CHA,569,21,3.7,13902.27
12/8/18,BUILDINGS,BUILDINGS,266,3,1.1,2439.82
12/8/18,OFFICE OF THE MAYOR,MAYOR,94,0,0,0
12/8/18,BOARD OF ETHICS,ETHICS,8,0,0,0
12/8/18,BUS AFFAIRS AND CONSUMER PROT,BACP,168,0,0,0
12/8/18,CITY COUNCIL,COUNCIL,420,19,4.5,27609.77
12/8/18,PUBLIC HEALTH,HEALTH,485,4,0.8,2582.64
12/8/18,WATER MANAGEMENT,WATER,1938,25,1.3,16804.89
12/8/18,POLICE,POLICE,14128,72,0.5,71916.36
12/8/18,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,131,2,1.5,8036.17
12/8/18,CULTURAL AFFAIRS,CA,78,0,0,0
12/8/18,FINANCE,FINANCE,555,4,0.7,2820
12/8/18,OFFICE OF EMERGENCY MGMT & COM,OEMC,2002,99,4.9,92312.47
12/8/18,ADMINISTRATIVE HEARING,AHMS,38,2,5.3,733.45
12/8/18,OFFICE OF BUDGET & MANAGEMENT,OBM,45,0,0,0
12/8/18,HUMAN RESOURCES,HUMANRESOURCES,80,0,0,0
12/8/18,FLEET AND FACILITY MGMT,FLEETFM,981,20,2,16212.37
12/8/18,COMM ANIMAL CARE AND CONTROL,ANIMAL,79,0,0,0
12/8/18,CITY COLLEGES OF CHICAGO,CCC,4933,249,5,171692.48
12/8/18,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,29,1,3.4,200
12/8/18,FIRE DEPARTMENT,CFD,4530,179,4,99321.21
12/8/18,CHICAGO PUBLIC LIBRARY,CPL,996,8,0.8,7937.53
12/8/18,PROCUREMENT SERV,PROCUREMENT,92,1,1.1,1000
12/8/18,CITY CLERK,CLERK,91,0,0,0
12/8/18,COMMISSION ON HUMAN RELATIONS,HR,17,0,0,0
12/8/18,CHICAGO PARK DISTRICT,CPDT,5485,174,3.2,139434.4
12/8/18,LAW,LAW,388,3,0.8,906.9
12/8/18,STREETS AND SANITATION,STREETSAN,2202,63,2.9,33671.63
3/5/19,ADMINISTRATIVE HEARING,AHMS,36,0,0,0
3/5/19,COMM ANIMAL CARE AND CONTROL,ANIMAL,80,1,1.2,1815.6
3/5/19,AVIATION,AVIATION,1665,61,3.7,29537
3/5/19,BUS AFFAIRS AND CONSUMER PROT,BACP,171,2,1.2,494
3/5/19,BUILDINGS,BUILDINGS,267,3,1.1,2303.5
3/5/19,CULTURAL AFFAIRS,CA,76,0,0,0
3/5/19,CHICAGO BOARD OF EDUCATION,CBOE,45919,3256,7.1,2667566.4
3/5/19,CITY COLLEGES OF CHICAGO,CCC,4972,283,5.7,196859.4
3/5/19,FIRE DEPARTMENT,CFD,4540,198,4.4,81735.6
3/5/19,CHICAGO HOUSING AUTHORITY,CHA,592,34,5.7,24639
3/5/19,CITY CLERK,CLERK,92,0,0,0
3/5/19,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,154,4,2.6,970
3/5/19,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,124,3,2.4,1770
3/5/19,CITY COUNCIL,COUNCIL,413,14,3.4,4883
3/5/19,CHICAGO PARK DISTRICT,CPDT,3072,181,5.9,180598.2
3/5/19,CHICAGO PUBLIC LIBRARY,CPL,975,13,1.3,5607.4
3/5/19,CHICAGO TRANSIT AUTHORITY,CTA,11056,2466,22.3,2728614.3
3/5/19,DOIT,DOIT,102,0,0,0
3/5/19,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,0,0,0
3/5/19,BOARD OF ETHICS,ETHICS,8,0,0,0
3/5/19,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,638,17,2.7,6301.5
3/5/19,FINANCE,FINANCE,552,9,1.6,6591
3/5/19,FLEET AND FACILITY MGMT,FLEETFM,981,25,2.5,12931.2
3/5/19,PUBLIC HEALTH,HEALTH,481,12,2.5,6587.2
3/5/19,HOUSING,HOUSING,59,0,0,0
3/5/19,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
3/5/19,HUMAN RESOURCES,HUMANRESOURCES,80,0,0,0
3/5/19,LAW,LAW,389,7,1.8,1641.3
3/5/19,OFFICE OF THE MAYOR,MAYOR,80,0,0,0
3/5/19,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,28,0,0,0
3/5/19,OFFICE OF BUDGET & MANAGEMENT,OBM,43,0,0,0
3/5/19,OFFICE OF EMERGENCY MGMT & COM,OEMC,1973,133,6.7,103214.7
3/5/19,POLICE,POLICE,14137,184,1.3,107889.2
3/5/19,PROCUREMENT SERV,PROCUREMENT,87,0,0,0
3/5/19,STREETS AND SANITATION,STREETSAN,2191,112,5.1,78369.5
3/5/19,TRANSPORTATION,TRANS,1144,52,4.5,26092.6
3/5/19,CITY TREASURER,TREASURER,25,0,0,0
3/5/19,WATER MANAGEMENT,WATER,1898,75,4,29947.5
3/9/19,ADMINISTRATIVE HEARING,AHMS,36,0,0,0
3/9/19,COMM ANIMAL CARE AND CONTROL,ANIMAL,80,1,1.2,1815.6
3/9/19,AVIATION,AVIATION,1665,49,2.9,22839.1
3/9/19,BUS AFFAIRS AND CONSUMER PROT,BACP,171,2,1.2,494
3/9/19,BUILDINGS,BUILDINGS,267,1,0.4,350
3/9/19,CULTURAL AFFAIRS,CA,76,0,0,0
3/9/19,CHICAGO BOARD OF EDUCATION,CBOE,45919,3126,6.8,2553411.2
3/9/19,CITY COLLEGES OF CHICAGO,CCC,4972,280,5.6,192947.2
3/9/19,FIRE DEPARTMENT,CFD,4540,184,4.1,76835.9
3/9/19,CHICAGO HOUSING AUTHORITY,CHA,592,32,5.4,24139.7
3/9/19,CITY CLERK,CLERK,92,0,0,0
3/9/19,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,154,3,1.9,770
3/9/19,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,124,3,2.4,1770
3/9/19,CITY COUNCIL,COUNCIL,413,13,3.1,4683
3/9/19,CHICAGO PARK DISTRICT,CPDT,3072,168,5.5,163329.9
3/9/19,CHICAGO PUBLIC LIBRARY,CPL,975,5,0.5,870.9
3/9/19,CHICAGO TRANSIT AUTHORITY,CTA,11056,2441,22.1,2687975.7
3/9/19,DOIT,DOIT,102,0,0,0
3/9/19,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,0,0,0
3/9/19,BOARD OF ETHICS,ETHICS,8,0,0,0
3/9/19,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,638,10,1.6,2520.2
3/9/19,FINANCE,FINANCE,552,7,1.3,5539.6
3/9/19,FLEET AND FACILITY MGMT,FLEETFM,981,22,2.2,11724.1
3/9/19,PUBLIC HEALTH,HEALTH,481,13,2.7,6738.6
3/9/19,HOUSING,HOUSING,59,0,0,0
3/9/19,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
3/9/19,HUMAN RESOURCES,HUMANRESOURCES,80,0,0,0
3/9/19,LAW,LAW,389,7,1.8,1641.3
3/9/19,OFFICE OF THE MAYOR,MAYOR,80,0,0,0
3/9/19,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,28,0,0,0
3/9/19,OFFICE OF BUDGET & MANAGEMENT,OBM,43,0,0,0
3/9/19,OFFICE OF EMERGENCY MGMT & COM,OEMC,1973,125,6.3,92664.2
3/9/19,POLICE,POLICE,14137,116,0.8,86234
3/9/19,PROCUREMENT SERV,PROCUREMENT,87,0,0,0
3/9/19,STREETS AND SANITATION,STREETSAN,2191,106,4.8,75513.2
3/9/19,TRANSPORTATION,TRANS,1144,45,3.9,23729.5
3/9/19,CITY TREASURER,TREASURER,25,0,0,0
3/9/19,WATER MANAGEMENT,WATER,1898,72,3.8,29539.6
3/16/19,ADMINISTRATIVE HEARING,AHMS,36,0,0,0
3/16/19,COMM ANIMAL CARE AND CONTROL,ANIMAL,80,1,1.2,1815.6
3/16/19,AVIATION,AVIATION,1665,43,2.6,18976.8
3/16/19,BUS AFFAIRS AND CONSUMER PROT,BACP,171,2,1.2,494
3/16/19,BUILDINGS,BUILDINGS,267,1,0.4,350
3/16/19,CULTURAL AFFAIRS,CA,76,0,0,0
3/16/19,CHICAGO BOARD OF EDUCATION,CBOE,45919,3051,6.6,2489782.8
3/16/19,CITY COLLEGES OF CHICAGO,CCC,4972,278,5.6,188952.7
3/16/19,FIRE DEPARTMENT,CFD,4540,178,3.9,74284
3/16/19,CHICAGO HOUSING AUTHORITY,CHA,592,30,5.1,21170.1
3/16/19,CITY CLERK,CLERK,92,0,0,0
3/16/19,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,154,2,1.3,650
3/16/19,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,124,3,2.4,1720
3/16/19,CITY COUNCIL,COUNCIL,413,13,3.1,4683
3/16/19,CHICAGO PARK DISTRICT,CPDT,3072,151,4.9,153178.5
3/16/19,CHICAGO PUBLIC LIBRARY,CPL,975,5,0.5,870.9
3/16/19,CHICAGO TRANSIT AUTHORITY,CTA,11056,2420,21.9,2670406.2
3/16/19,DOIT,DOIT,102,0,0,0
3/16/19,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,0,0,0
3/16/19,BOARD OF ETHICS,ETHICS,8,0,0,0
3/16/19,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,638,9,1.4,2299.5
3/16/19,FINANCE,FINANCE,552,5,0.9,5225.7
3/16/19,FLEET AND FACILITY MGMT,FLEETFM,981,15,1.5,8431.8
3/16/19,PUBLIC HEALTH,HEALTH,481,12,2.5,6395
3/16/19,HOUSING,HOUSING,59,0,0,0
3/16/19,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
3/16/19,HUMAN RESOURCES,HUMANRESOURCES,80,0,0,0
3/16/19,LAW,LAW,389,7,1.8,1641.3
3/16/19,OFFICE OF THE MAYOR,MAYOR,80,0,0,0
3/16/19,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,28,0,0,0
3/16/19,OFFICE OF BUDGET & MANAGEMENT,OBM,43,0,0,0
3/16/19,OFFICE OF EMERGENCY MGMT & COM,OEMC,1973,112,5.7,87260.1
3/16/19,POLICE,POLICE,14137,78,0.6,73158.7
3/16/19,PROCUREMENT SERV,PROCUREMENT,87,0,0,0
3/16/19,STREETS AND SANITATION,STREETSAN,2191,84,3.8,68752.6
3/16/19,TRANSPORTATION,TRANS,1144,39,3.4,20267.7
3/16/19,CITY TREASURER,TREASURER,25,0,0,0
3/16/19,WATER MANAGEMENT,WATER,1898,61,3.2,27430.8
3/23/19,ADMINISTRATIVE HEARING,AHMS,36,0,0,0
3/23/19,COMM ANIMAL CARE AND CONTROL,ANIMAL,80,1,1.2,1815.6
3/23/19,AVIATION,AVIATION,1665,39,2.3,17340.8
3/23/19,BUS AFFAIRS AND CONSUMER PROT,BACP,171,2,1.2,494
3/23/19,BUILDINGS,BUILDINGS,267,0,0,0
3/23/19,CULTURAL AFFAIRS,CA,76,0,0,0
3/23/19,CHICAGO BOARD OF EDUCATION,CBOE,45919,2974,6.5,2417345.9
3/23/19,CITY COLLEGES OF CHICAGO,CCC,4972,271,5.5,186467.8
3/23/19,FIRE DEPARTMENT,CFD,4540,167,3.7,68098.2
3/23/19,CHICAGO HOUSING AUTHORITY,CHA,592,29,4.9,20982.2
3/23/19,CITY CLERK,CLERK,92,0,0,0
3/23/19,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,154,2,1.3,650
3/23/19,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,124,3,2.4,1720
3/23/19,CITY COUNCIL,COUNCIL,413,12,2.9,4006.7
3/23/19,CHICAGO PARK DISTRICT,CPDT,3072,134,4.4,136006.1
3/23/19,CHICAGO PUBLIC LIBRARY,CPL,975,4,0.4,670.9
3/23/19,CHICAGO TRANSIT AUTHORITY,CTA,11056,2406,21.8,2663814
3/23/19,DOIT,DOIT,102,0,0,0
3/23/19,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,0,0,0
3/23/19,BOARD OF ETHICS,ETHICS,8,0,0,0
3/23/19,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,638,6,0.9,1561.1
3/23/19,FINANCE,FINANCE,552,4,0.7,4012.4
3/23/19,FLEET AND FACILITY MGMT,FLEETFM,981,13,1.3,7807.6
3/23/19,PUBLIC HEALTH,HEALTH,481,10,2.1,6119
3/23/19,HOUSING,HOUSING,59,0,0,0
3/23/19,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
3/23/19,HUMAN RESOURCES,HUMANRESOURCES,80,0,0,0
3/23/19,LAW,LAW,389,6,1.5,1563.3
3/23/19,OFFICE OF THE MAYOR,MAYOR,80,0,0,0
3/23/19,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,28,0,0,0
3/23/19,OFFICE OF BUDGET & MANAGEMENT,OBM,43,0,0,0
3/23/19,OFFICE OF EMERGENCY MGMT & COM,OEMC,1973,99,5,83737.6
3/23/19,POLICE,POLICE,14137,48,0.3,60877.7
3/23/19,PROCUREMENT SERV,PROCUREMENT,87,0,0,0
3/23/19,STREETS AND SANITATION,STREETSAN,2191,71,3.2,38670.7
3/23/19,TRANSPORTATION,TRANS,1144,34,3,21367.6
3/23/19,CITY TREASURER,TREASURER,25,0,0,0
3/23/19,WATER MANAGEMENT,WATER,1898,48,2.5,22389.1
3/30/19,ADMINISTRATIVE HEARING,AHMS,36,0,0,0
3/30/19,COMM ANIMAL CARE AND CONTROL,ANIMAL,80,1,1.2,1815.6
3/30/19,AVIATION,AVIATION,1665,31,1.9,14248.4
3/30/19,BUS AFFAIRS AND CONSUMER PROT,BACP,171,1,0.6,250
3/30/19,BUILDINGS,BUILDINGS,267,0,0,0
3/30/19,CULTURAL AFFAIRS,CA,76,0,0,0
3/30/19,CHICAGO BOARD OF EDUCATION,CBOE,45919,2906,6.3,2378355.7
3/30/19,CITY COLLEGES OF CHICAGO,CCC,4972,272,5.5,187396.2
3/30/19,FIRE DEPARTMENT,CFD,4540,138,3,41747.2
3/30/19,CHICAGO HOUSING AUTHORITY,CHA,592,31,5.2,22115.7
3/30/19,CITY CLERK,CLERK,92,0,0,0
3/30/19,DEPARTMENT OF PLANNING AND DEV,COMM_DEVEL,154,2,1.3,650
3/30/19,CIVILIAN OFFICE OF POLICE ACCOUNTABILITY,COPA,124,2,1.6,350
3/30/19,CITY COUNCIL,COUNCIL,413,5,1.2,2476.1
3/30/19,CHICAGO PARK DISTRICT,CPDT,3072,118,3.8,128321.9
3/30/19,CHICAGO PUBLIC LIBRARY,CPL,975,3,0.3,270.9
3/30/19,CHICAGO TRANSIT AUTHORITY,CTA,11056,2394,21.7,2643941.8
3/30/19,DOIT,DOIT,102,0,0,0
3/30/19,BOARD OF ELECTION COMMISSIONER,ELECTIONS,108,0,0,0
3/30/19,BOARD OF ETHICS,ETHICS,8,0,0,0
3/30/19,FAMILY AND SUPPORT SERVICES,FAMILY_SUPPORT,638,2,0.3,310
3/30/19,FINANCE,FINANCE,552,4,0.7,4016.8
3/30/19,FLEET AND FACILITY MGMT,FLEETFM,981,9,0.9,6779.8
3/30/19,PUBLIC HEALTH,HEALTH,481,4,0.8,1030.6
3/30/19,HOUSING,HOUSING,59,0,0,0
3/30/19,COMMISSION ON HUMAN RELATIONS,HR,18,0,0,0
3/30/19,HUMAN RESOURCES,HUMANRESOURCES,80,0,0,0
3/30/19,LAW,LAW,389,4,1,1243.3
3/30/19,OFFICE OF THE MAYOR,MAYOR,80,0,0,0
3/30/19,MAYORS OFFICE-DISABILITIES,MAYOR_DISABIL,28,0,0,0
